図鑑No,種族名,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,攻撃,防御,特攻,特防,素早さ
21,オニスズメ,ノーマル,ひこう,するどいめ,,スナイパー,40,60,30,31,31,70
22,オニドリル,ノーマル,ひこう,するどいめ,,スナイパー,65,90,65,61,61,100
23,アーボ,どく,,いかく,だっぴ,きんちょうかん,35,60,44,40,54,55
24,アーボック,どく,,いかく,だっぴ,きんちょうかん,60,95,69,65,79,80
25,ピカチュウ,でんき,,せいでんき,,ひらいしん,35,55,40,50,50,90
26,ライチュウ,でんき,,せいでんき,,ひらいしん,60,90,55,90,80,110
26,ライチュウ(アローラ),でんき,エスパー,サーフテール,,,60,85,50,95,85,110
27,サンド,じめん,,すながくれ,,すなかき,50,75,85,20,30,40
27,サンド(アローラ),こおり,はがね,ゆきがくれ,,ゆきかき,50,75,90,10,35,40
28,サンドパン,じめん,,すながくれ,,すなかき,75,100,110,45,55,65
28,サンドパン(アローラ),こおり,はがね,ゆきがくれ,,ゆきかき,75,100,120,25,65,65
29,ニドラン♀,どく,,どくのとげ,とうそうしん,はりきり,55,47,52,40,40,41
30,ニドリーナ,どく,,どくのとげ,とうそうしん,はりきり,70,62,67,55,55,56
31,ニドクイン,どく,じめん,どくのとげ,とうそうしん,ちからずく,90,92,87,75,85,76
32,ニドラン♂,どく,,どくのとげ,とうそうしん,はりきり,46,57,40,40,40,50
33,ニドリーノ,どく,,どくのとげ,とうそうしん,はりきり,61,72,57,55,55,65
34,ニドキング,どく,じめん,どくのとげ,とうそうしん,ちからずく,81,102,77,85,75,85
35,ピッピ,フェアリー,,メロメロボディ,マッジクガード,フレンドガード,70,45,48,60,65,35
36,ピクシー,フェアリー,,メロメロボディ,マジックガード,てんねん,95,70,73,95,90,60
37,ロコン,ほのお,,もらいび,,ひでり,38,41,40,50,65,65
37,ロコン(アローラ),こおり,,ゆきがくれ,,ゆきふらし,38,41,40,50,65,65
38,キュウコン,ほのお,,もらいび,,ひでり,73,76,75,81,100,100
38,キュウコン(アローラ),こおり,フェアリー,ゆきがくれ,,ゆきふらし,73,67,75,81,100,109
39,プリン,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,115,45,20,45,25,20
40,プクリン,ノーマル,フェアリー,メロメロボディ,かちき,おみとおし,140,70,45,85,80,45
41,ズバット,どく,ひこう,せいしんりょく,,すりぬけ,40,45,35,30,40,55
42,ゴルバッド,どく,ひこう,せいしんりょく,,すりぬけ,75,80,70,65,75,90
43,ナゾノクサ,くさ,どく,ようりょくそ,,にげあし,45,50,55,75,65,30
44,クサイハナ,くさ,どく,ようりょくそ,,あくしゅう,60,65,70,85,75,40
45,ラフレシア,くさ,どく,ようりょくそ,,ほうし,75,80,85,110,90,50
46,パラス,むし,くさ,ほうし,かんそうはだ,しめりけ,35,70,55,45,55,25
47,パラセクト,むし,くさ,ほうし,かんそうはだ,しめりけ,60,95,80,60,80,30
48,コンパン,むし,どく,ふくがん,いろめがね,にげあし,60,55,50,40,55,45
49,モルフォン,むし,どく,りんぷん,いろめがね,ミラクルスキン,70,65,60,90,75,90
50,ディグダ,じめん,,すながくれ,ありじごく,すなのちから,10,55,25,35,45,95
50,ディグダ(アローラ),じめん,はがね,すながくれ,カーリーヘアー,すなのちから,10,55,30,35,45,90
51,ダグトリオ,じめん,,すながくれ,ありじごく,すなのちから,35,100,50,50,70,120
51,ダグトリオ(アローラ),じめん,はがね,すながくれ,カーリーヘアー,すなのちから,35,100,60,50,70,110
52,ニャース,ノーマル,,ものひろい,テクニシャン,きんちょうかん,40,45,35,40,40,90
52,ニャース(アローラ),あく,,ものひろい,テクニシャン,びびり,40,35,35,50,40,90
52,ニャース(ガラル),はがね,,ものひろい,かたいツメ,きんちょうかん,50,65,55,40,40,40
53,ペルシアン,ノーマル,,じゅうなん,テクニシャン,きんちょうかん,65,70,60,65,65,115
53,ペルシアン(アローラ),あく,,ファーコート,テクニシャン,びびり,65,60,60,75,65,115
54,コダック,みず,,しめりけ,ノーテンキ,すいすい,50,52,48,65,50,55
55,ゴルダック,みず,,しめりけ,ノーテンキ,すいすい,80,82,78,95,80,85
56,マンキー,かくとう,,やるき,いかりのつぼ,まけんき,40,80,35,35,45,70
57,オコリザル,かくとう,,やるき,いかりのつぼ,まけんき,65,105,60,60,70,95
58,ガーディ,ほのお,,いかく,もらいび,せいぎのこころ,55,70,45,70,50,60
59,ウインディ,ほのお,,いかく,もらいび,せいぎのこころ,90,110,80,100,80,95
60,ニョロモ,みず,,ちょすい,しめりけ,すいすい,40,50,40,40,40,90
61,ニョロゾ,みず,,ちょすい,しめりけ,すいすい,65,65,65,50,50,90
62,ニョロボン,みず,かくとう,ちょすい,しめりけ,すいすい,90,95,95,70,90,70
63,ケーシィ,エスパー,,シンクロ,せいしんりょく,マジックガード,25,20,15,105,55,90
64,ユンゲラー,エスパー,,シンクロ,せいしんりょく,マジックガード,40,35,30,120,70,105
65,フーディン,エスパー,,シンクロ,せいしんりょく,マジックガード,55,50,45,135,95,120
65,メガフーディン,エスパー,,トレース,,,55,50,65,175,105,150
66,ワンリキー,かくとう,,こんじょう,ノーガード,ふくつのこころ,70,80,50,35,35,35
67,ゴーリキー,かくとう,,こんじょう,ノーガード,ふくつのこころ,80,100,70,50,60,45
68,カイリキー,かくとう,,こんじょう,ノーガード,ふくつのこころ,90,130,80,65,85,55
69,マダツボミ,くさ,どく,ようりょくそ,,くいしんぼう,50,75,35,70,30,40
70,ウツドン,くさ,どく,ようりょくそ,,くいしんぼう,65,90,50,85,45,55
71,ウツボット,くさ,どく,ようりょくそ,,くいしんぼう,80,105,65,100,70,70
72,メノクラゲ,みず,どく,クリアボディ,ヘドロえき,あめうけざら,40,40,35,50,100,70
73,ドククラゲ,みず,どく,クリアボディ,ヘドロえき,あめうけざら,80,70,65,80,120,100
74,イシツブテ,いわ,じめん,いしあたま,がんじょう,すながくれ,40,80,100,30,30,20
74,イシツブテ(アローラ),いわ,でんき,じりょく,がんじょう,エレキスキン,40,80,100,30,30,20
75,ゴローン,いわ,じめん,いしあたま,がんじょう,すながくれ,55,95,115,45,45,35
75,ゴローン(アローラ),いわ,でんき,じりょく,がんじょう,エレキスキン,55,95,115,45,45,35
76,ゴローニャ,いわ,じめん,いしあたま,がんじょう,すながくれ,80,120,130,55,65,45
76,ゴローニャ(アローラ),いわ,でんき,じりょく,がんじょう,エレキスキン,80,120,130,55,65,45
77,ポニータ,ほのお,,にげあし,もらいび,ほのおのからだ,50,85,55,65,65,90
77,ポニータ(ガラル),エスパー,,にげあし,パステルベール,きけんよち,50,85,55,65,65,90
78,ギャロップ,ほのお,,にげあし,もらいび,ほのおのからだ,65,100,70,80,80,105
78,ギャロップ(ガラル),エスパー,フェアリー,にげあし,パステルベール,きけんよち,65,100,70,80,80,105
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,,,,,,,,
171,,,,,,,,,,,,
172,,,,,,,,,,,,
173,,,,,,,,,,,,
174,,,,,,,,,,,,
175,,,,,,,,,,,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,,,,,,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,,,,,,,,,,,,
190,,,,,,,,,,,,
191,,,,,,,,,,,,
192,,,,,,,,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,,,,,,,,,,,,
196,,,,,,,,,,,,
197,,,,,,,,,,,,
198,,,,,,,,,,,,
199,,,,,,,,,,,,
200,,,,,,,,,,,,
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,,,,,,,,,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,,,,,,,,,,
207,,,,,,,,,,,,
208,,,,,,,,,,,,
209,,,,,,,,,,,,
210,,,,,,,,,,,,
211,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,,,,,,,,,,
214,,,,,,,,,,,,
215,,,,,,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,,,,,,
221,,,,,,,,,,,,
222,,,,,,,,,,,,
223,,,,,,,,,,,,
224,,,,,,,,,,,,
225,,,,,,,,,,,,
226,,,,,,,,,,,,
227,,,,,,,,,,,,
228,,,,,,,,,,,,
229,,,,,,,,,,,,
230,,,,,,,,,,,,
231,,,,,,,,,,,,
232,,,,,,,,,,,,
233,,,,,,,,,,,,
234,,,,,,,,,,,,
235,,,,,,,,,,,,
236,,,,,,,,,,,,
237,,,,,,,,,,,,
238,,,,,,,,,,,,
239,,,,,,,,,,,,
240,,,,,,,,,,,,
241,,,,,,,,,,,,
242,,,,,,,,,,,,
243,,,,,,,,,,,,
244,,,,,,,,,,,,
245,,,,,,,,,,,,
246,,,,,,,,,,,,
247,,,,,,,,,,,,
248,,,,,,,,,,,,
249,,,,,,,,,,,,
250,,,,,,,,,,,,
251,,,,,,,,,,,,
252,,,,,,,,,,,,
253,,,,,,,,,,,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,,,,,,,,,,
257,,,,,,,,,,,,
258,,,,,,,,,,,,
259,,,,,,,,,,,,
260,,,,,,,,,,,,
261,,,,,,,,,,,,
262,,,,,,,,,,,,
263,,,,,,,,,,,,
264,,,,,,,,,,,,
265,,,,,,,,,,,,
266,,,,,,,,,,,,
267,,,,,,,,,,,,
268,,,,,,,,,,,,
269,,,,,,,,,,,,
270,,,,,,,,,,,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,,,,,,,,,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,,,,,,,,,,
277,,,,,,,,,,,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,,,,,,,,,,,,
282,,,,,,,,,,,,
283,,,,,,,,,,,,
284,,,,,,,,,,,,
285,,,,,,,,,,,,
286,,,,,,,,,,,,
287,,,,,,,,,,,,
288,,,,,,,,,,,,
289,,,,,,,,,,,,
290,,,,,,,,,,,,
291,,,,,,,,,,,,
292,,,,,,,,,,,,
293,,,,,,,,,,,,
294,,,,,,,,,,,,
295,,,,,,,,,,,,
296,,,,,,,,,,,,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,,,,,,,,,,,,
300,,,,,,,,,,,,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,,,,,,,,,,
306,,,,,,,,,,,,
307,,,,,,,,,,,,
308,,,,,,,,,,,,
309,,,,,,,,,,,,
310,,,,,,,,,,,,
311,,,,,,,,,,,,
312,,,,,,,,,,,,
313,,,,,,,,,,,,
314,,,,,,,,,,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,,,,,,,,,,,
319,,,,,,,,,,,,
320,,,,,,,,,,,,
321,,,,,,,,,,,,
322,,,,,,,,,,,,
323,,,,,,,,,,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,,,,,,,,,,,
328,,,,,,,,,,,,
329,,,,,,,,,,,,
330,,,,,,,,,,,,
331,,,,,,,,,,,,
332,,,,,,,,,,,,
333,,,,,,,,,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
336,,,,,,,,,,,,
337,,,,,,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,,
340,,,,,,,,,,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,,
344,,,,,,,,,,,,
345,,,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,,,
349,,,,,,,,,,,,
350,,,,,,,,,,,,
351,,,,,,,,,,,,
352,,,,,,,,,,,,
353,,,,,,,,,,,,
354,,,,,,,,,,,,
355,,,,,,,,,,,,
356,,,,,,,,,,,,
357,,,,,,,,,,,,
358,,,,,,,,,,,,
359,,,,,,,,,,,,
360,,,,,,,,,,,,
361,,,,,,,,,,,,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,,,,,,,,,,
365,,,,,,,,,,,,
366,,,,,,,,,,,,
367,,,,,,,,,,,,
368,,,,,,,,,,,,
369,,,,,,,,,,,,
370,,,,,,,,,,,,
371,,,,,,,,,,,,
372,,,,,,,,,,,,
373,,,,,,,,,,,,
374,,,,,,,,,,,,
375,,,,,,,,,,,,
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,,,,,,,,,,,,
381,,,,,,,,,,,,
382,,,,,,,,,,,,
383,,,,,,,,,,,,
384,,,,,,,,,,,,
385,,,,,,,,,,,,
386,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,,,,,,,,
389,,,,,,,,,,,,
390,,,,,,,,,,,,
391,,,,,,,,,,,,
392,,,,,,,,,,,,
393,,,,,,,,,,,,
394,,,,,,,,,,,,
395,,,,,,,,,,,,
396,,,,,,,,,,,,
397,,,,,,,,,,,,
398,,,,,,,,,,,,
399,,,,,,,,,,,,
400,,,,,,,,,,,,
401,,,,,,,,,,,,
402,,,,,,,,,,,,
403,,,,,,,,,,,,
404,,,,,,,,,,,,
405,,,,,,,,,,,,
406,,,,,,,,,,,,
407,,,,,,,,,,,,
408,,,,,,,,,,,,
409,,,,,,,,,,,,
410,,,,,,,,,,,,
411,,,,,,,,,,,,
412,,,,,,,,,,,,
413,,,,,,,,,,,,
414,,,,,,,,,,,,
415,,,,,,,,,,,,
416,,,,,,,,,,,,
417,,,,,,,,,,,,
418,,,,,,,,,,,,
419,,,,,,,,,,,,
420,,,,,,,,,,,,
421,,,,,,,,,,,,
422,,,,,,,,,,,,
423,,,,,,,,,,,,
424,,,,,,,,,,,,
425,,,,,,,,,,,,
426,,,,,,,,,,,,
427,,,,,,,,,,,,
428,,,,,,,,,,,,
429,,,,,,,,,,,,
430,,,,,,,,,,,,
431,,,,,,,,,,,,
432,,,,,,,,,,,,
433,,,,,,,,,,,,
434,,,,,,,,,,,,
435,,,,,,,,,,,,
436,,,,,,,,,,,,
437,,,,,,,,,,,,
438,,,,,,,,,,,,
439,,,,,,,,,,,,
440,,,,,,,,,,,,
441,,,,,,,,,,,,
442,,,,,,,,,,,,
443,,,,,,,,,,,,
444,,,,,,,,,,,,
445,,,,,,,,,,,,
446,,,,,,,,,,,,
447,,,,,,,,,,,,
448,,,,,,,,,,,,
449,,,,,,,,,,,,
450,,,,,,,,,,,,
451,,,,,,,,,,,,
452,,,,,,,,,,,,
453,,,,,,,,,,,,
454,,,,,,,,,,,,
455,,,,,,,,,,,,
456,,,,,,,,,,,,
457,,,,,,,,,,,,
458,,,,,,,,,,,,
459,,,,,,,,,,,,
460,,,,,,,,,,,,
461,,,,,,,,,,,,
462,,,,,,,,,,,,
463,,,,,,,,,,,,
464,,,,,,,,,,,,
465,,,,,,,,,,,,
466,,,,,,,,,,,,
467,,,,,,,,,,,,
468,,,,,,,,,,,,
469,,,,,,,,,,,,
470,,,,,,,,,,,,
471,,,,,,,,,,,,
472,,,,,,,,,,,,
473,,,,,,,,,,,,
474,,,,,,,,,,,,
475,,,,,,,,,,,,
476,,,,,,,,,,,,
477,,,,,,,,,,,,
478,,,,,,,,,,,,
479,,,,,,,,,,,,
480,,,,,,,,,,,,
481,,,,,,,,,,,,
482,,,,,,,,,,,,
483,,,,,,,,,,,,
484,,,,,,,,,,,,
485,,,,,,,,,,,,
486,,,,,,,,,,,,
487,,,,,,,,,,,,
488,,,,,,,,,,,,
489,,,,,,,,,,,,
490,,,,,,,,,,,,
491,,,,,,,,,,,,
492,,,,,,,,,,,,
493,,,,,,,,,,,,
494,,,,,,,,,,,,
495,,,,,,,,,,,,
496,,,,,,,,,,,,
497,,,,,,,,,,,,
498,,,,,,,,,,,,
499,,,,,,,,,,,,
500,,,,,,,,,,,,
501,,,,,,,,,,,,
502,,,,,,,,,,,,
503,,,,,,,,,,,,
504,,,,,,,,,,,,
505,,,,,,,,,,,,
506,,,,,,,,,,,,
507,,,,,,,,,,,,
508,,,,,,,,,,,,
509,,,,,,,,,,,,
510,,,,,,,,,,,,
511,,,,,,,,,,,,
512,,,,,,,,,,,,
513,,,,,,,,,,,,
514,,,,,,,,,,,,
515,,,,,,,,,,,,
516,,,,,,,,,,,,
517,,,,,,,,,,,,
518,,,,,,,,,,,,
519,,,,,,,,,,,,
520,,,,,,,,,,,,
521,,,,,,,,,,,,
522,,,,,,,,,,,,
523,,,,,,,,,,,,
524,,,,,,,,,,,,
525,,,,,,,,,,,,
526,,,,,,,,,,,,
527,,,,,,,,,,,,
528,,,,,,,,,,,,
529,,,,,,,,,,,,
530,,,,,,,,,,,,
531,,,,,,,,,,,,
532,,,,,,,,,,,,
533,,,,,,,,,,,,
534,,,,,,,,,,,,
535,,,,,,,,,,,,
536,,,,,,,,,,,,
537,,,,,,,,,,,,
538,,,,,,,,,,,,
539,,,,,,,,,,,,
540,,,,,,,,,,,,
541,,,,,,,,,,,,
542,,,,,,,,,,,,
543,,,,,,,,,,,,
544,,,,,,,,,,,,
545,,,,,,,,,,,,
546,,,,,,,,,,,,
547,,,,,,,,,,,,
548,,,,,,,,,,,,
549,,,,,,,,,,,,
550,,,,,,,,,,,,
551,,,,,,,,,,,,
552,,,,,,,,,,,,
553,,,,,,,,,,,,
554,,,,,,,,,,,,
555,,,,,,,,,,,,
556,,,,,,,,,,,,
557,,,,,,,,,,,,
558,,,,,,,,,,,,
559,,,,,,,,,,,,
560,,,,,,,,,,,,
561,,,,,,,,,,,,
562,,,,,,,,,,,,
563,,,,,,,,,,,,
564,,,,,,,,,,,,
565,,,,,,,,,,,,
566,,,,,,,,,,,,
567,,,,,,,,,,,,
568,,,,,,,,,,,,
569,,,,,,,,,,,,
570,,,,,,,,,,,,
571,,,,,,,,,,,,
572,,,,,,,,,,,,
573,,,,,,,,,,,,
574,,,,,,,,,,,,
575,,,,,,,,,,,,
576,,,,,,,,,,,,
577,,,,,,,,,,,,
578,,,,,,,,,,,,
579,,,,,,,,,,,,
580,,,,,,,,,,,,
581,,,,,,,,,,,,
582,,,,,,,,,,,,
583,,,,,,,,,,,,
584,,,,,,,,,,,,
585,,,,,,,,,,,,
586,,,,,,,,,,,,
587,,,,,,,,,,,,
588,,,,,,,,,,,,
589,,,,,,,,,,,,
590,,,,,,,,,,,,
591,,,,,,,,,,,,
592,,,,,,,,,,,,
593,,,,,,,,,,,,
594,,,,,,,,,,,,
595,,,,,,,,,,,,
596,,,,,,,,,,,,
597,,,,,,,,,,,,
598,,,,,,,,,,,,
599,,,,,,,,,,,,
600,,,,,,,,,,,,
601,,,,,,,,,,,,
602,,,,,,,,,,,,
603,,,,,,,,,,,,
604,,,,,,,,,,,,
605,,,,,,,,,,,,
606,,,,,,,,,,,,
607,,,,,,,,,,,,
608,,,,,,,,,,,,
609,,,,,,,,,,,,
610,,,,,,,,,,,,
611,,,,,,,,,,,,
612,,,,,,,,,,,,
613,,,,,,,,,,,,
614,,,,,,,,,,,,
615,,,,,,,,,,,,
616,,,,,,,,,,,,
617,,,,,,,,,,,,
618,,,,,,,,,,,,
619,,,,,,,,,,,,
620,,,,,,,,,,,,
621,,,,,,,,,,,,
622,,,,,,,,,,,,
623,,,,,,,,,,,,
624,,,,,,,,,,,,
625,,,,,,,,,,,,
626,,,,,,,,,,,,
627,,,,,,,,,,,,
628,,,,,,,,,,,,
629,,,,,,,,,,,,
630,,,,,,,,,,,,
631,,,,,,,,,,,,
632,,,,,,,,,,,,
633,,,,,,,,,,,,
634,,,,,,,,,,,,
635,,,,,,,,,,,,
636,,,,,,,,,,,,
637,,,,,,,,,,,,
638,,,,,,,,,,,,
639,,,,,,,,,,,,
640,,,,,,,,,,,,
641,,,,,,,,,,,,
642,,,,,,,,,,,,
643,,,,,,,,,,,,
644,,,,,,,,,,,,
645,,,,,,,,,,,,
646,,,,,,,,,,,,
647,,,,,,,,,,,,
648,,,,,,,,,,,,
649,,,,,,,,,,,,
650,,,,,,,,,,,,
651,,,,,,,,,,,,
652,,,,,,,,,,,,
653,,,,,,,,,,,,
654,,,,,,,,,,,,
655,,,,,,,,,,,,
656,,,,,,,,,,,,
657,,,,,,,,,,,,
658,,,,,,,,,,,,
659,,,,,,,,,,,,
660,,,,,,,,,,,,
661,,,,,,,,,,,,
662,,,,,,,,,,,,
663,,,,,,,,,,,,
664,,,,,,,,,,,,
665,,,,,,,,,,,,
666,,,,,,,,,,,,
667,,,,,,,,,,,,
668,,,,,,,,,,,,
669,,,,,,,,,,,,
670,,,,,,,,,,,,
671,,,,,,,,,,,,
672,,,,,,,,,,,,
673,,,,,,,,,,,,
674,,,,,,,,,,,,
675,,,,,,,,,,,,
676,,,,,,,,,,,,
677,,,,,,,,,,,,
678,,,,,,,,,,,,
679,,,,,,,,,,,,
680,,,,,,,,,,,,
681,,,,,,,,,,,,
682,,,,,,,,,,,,
683,,,,,,,,,,,,
684,,,,,,,,,,,,
685,,,,,,,,,,,,
686,,,,,,,,,,,,
687,,,,,,,,,,,,
688,,,,,,,,,,,,
689,,,,,,,,,,,,
690,,,,,,,,,,,,
691,,,,,,,,,,,,
692,,,,,,,,,,,,
693,,,,,,,,,,,,
694,,,,,,,,,,,,
695,,,,,,,,,,,,
696,,,,,,,,,,,,
697,,,,,,,,,,,,
698,,,,,,,,,,,,
699,,,,,,,,,,,,
700,,,,,,,,,,,,
701,,,,,,,,,,,,
702,,,,,,,,,,,,
703,,,,,,,,,,,,
704,,,,,,,,,,,,
705,,,,,,,,,,,,
706,,,,,,,,,,,,
707,,,,,,,,,,,,
708,,,,,,,,,,,,
709,,,,,,,,,,,,
710,,,,,,,,,,,,
711,,,,,,,,,,,,
712,,,,,,,,,,,,
713,,,,,,,,,,,,
714,,,,,,,,,,,,
715,,,,,,,,,,,,
716,,,,,,,,,,,,
717,,,,,,,,,,,,
718,,,,,,,,,,,,
719,,,,,,,,,,,,
720,,,,,,,,,,,,
721,,,,,,,,,,,,
722,,,,,,,,,,,,
723,,,,,,,,,,,,
724,,,,,,,,,,,,
725,,,,,,,,,,,,
726,,,,,,,,,,,,
727,,,,,,,,,,,,
728,,,,,,,,,,,,
729,,,,,,,,,,,,
730,,,,,,,,,,,,
731,,,,,,,,,,,,
732,,,,,,,,,,,,
733,,,,,,,,,,,,
734,,,,,,,,,,,,
735,,,,,,,,,,,,
736,,,,,,,,,,,,
737,,,,,,,,,,,,
738,,,,,,,,,,,,
739,,,,,,,,,,,,
740,,,,,,,,,,,,
741,,,,,,,,,,,,
742,,,,,,,,,,,,
743,,,,,,,,,,,,
744,,,,,,,,,,,,
745,,,,,,,,,,,,
746,,,,,,,,,,,,
